བོད་ཕྱི་ནང་།,Tibetan Title,BO,EN,English Title,Author,Translator,བརྗོད་བྱ།,བསྒྱུར་གཞི།,དཔེ་སྐྲུན་ཁང་།,དཔར་ལོ།,ཤོག་གྲངས།,BDRC བརྩམས་ཆོས།,Translation Segment pairs
,བྱང་ཆུབ་ཀྱི་སེམས་མན་ངག་ཁྱུང་ཆེན་ལྡིང་བའི་རྒྱུད། བྱང་ཆུབ་སེམས་ཀྱི་མན་ངག་སེང་ཆེན་མཆོངས་པའི་རྒྱུད། བྱང་ཆུབ་སེམས་ངང་མོ་འགྲོས་ཀྱི་རྒྱུད། བྱང་ཆུབ་སེམས་མན་ངག་རིག་པའི་ཁུ་བྱུག་གསུང་གི་རྒྱུད། འཇམ་དཔལ་འདུས་པའི་རྒྱུད། ཁྲེགས་གཅོད་བདུན་པ་ཞེས་བྱ་བ། འཕགས་པ་འཇམ་དཔལ་ལྟ་བ་ཐོད་རྒལ་ཆེན་པོའི་རྒྱུད།  ,BO4228,EN4228,Ten Early Tantras of the Great Perfection: A Basket of Diamonds,,Chistopher Wilkinson,རྒྱུད་འབུམ།,,,,,"1 bdr:WA0XLE3B3EEE9D841
2 bdr:WA0XLBA54741454E8
3 bdr:WA0XLC216AD20FB15
4 bdr:WA0XL61C37A4FB5D5
5 bdr:WA0XLE9DB0E505D3C
6 bdr:WA0XL91C9DD26E728
7 bdr:WA0XLC34A1FD79194",496
,སེང་གེ་རྩལ་རྫོགས་ཆེན་པོའི་རྒྱུད་ཅེས་བྱ་བ། ,BO4500,EN4500,The Lion Stops Hunting: An Upadesha Tantra Of The Great Perfection,,Christopher Wilkinson,རྒྱུད་འབུམ།,,,,,,2920
,ཀུན་མཁྱེན་དྲི་མེད་འོད་ཟེར་གྱི་རྣམ་ཐར་མཐོང་བ་དོན་ལྡན་,BO4137,EN4137,Meaningful To Behold: A Critical Edition And Anotated Translation Of Longchenpa's Biography,ཁམས་པ་ཆོས་གྲགས་བཟང་པོ།,Shinichi Tsumagari,རྣམ་ཐར།,,,,,bdr:WA0XLB996807BD,471
,རྫོགས་པ་ཆེན་པོ་བསམ་གཏན་ངལ་གསོའི་འགྲེལ་པ་ཤིང་རྟ་རྣམ་པར་དག་པ་ཅེས་བྱ་བ།,BO3550,EN3550,"Finding Rest In Meditation: The Trilogy Of Rest, Volume 2",ཀློང་ཆེན་རབ་འབྱམས་པ།,padmakara Translation,སྔགས། རྫོགས་པ་ཆེན་པོ།,,,,,bdr:WA0XLEA593ED2F1BC,1094
,གདམས་ངག་རིན་པོ་ཆེའི་མཛོད་ལས་གླེགས་བམ་བདུན་པ་མར་པ་བཀའ་བརྒྱུད་པོད་གཅིག་པ།,BO3441,EN3441,"Marpa Kagyu, Part 1: Methods of Liberation: Essential Teachings of the Eight Practice Lineages of Tib et, Volume 7",ཀོང་སྤྲུལ་བློ་གྲོས་མཐའ་ཡས། (1813–1899).,Jamgon Kongtrul Lodro Taye,,,,,,bdr:WA1PD159424,8439
,གདམས་ངག་རིན་པོ་ཆེའི་མཛོད་ལས་པོད་བཅུ་དྲུག་པ་ཁྲིད་སྐོར་སྣ་ཚོགས་པོད་དང་པོ།,BO2724,EN2724,"Mahāsiddha Practice, From Mitrayogin and Other Masters, Volume 16 (The Treasury of Precious Instructions)
By Jamgon Kongtrul Lodro Taye",ཀོང་སྤྲུལ་བློ་གྲོས་མཐའ་ཡས། (1813–1899),"Kong-Sprul Blo-Gros-Mthaʼ-Yas,",,,,,,,170
,རིག་པ་རང་ཤར་ཆེན་པོའི་རྒྱུད་བཞུགས་སོ།།,BO2002,EN2002,Self-Arisen Vidya Tantra (Vol 1),,Malcolm Smith,སྔགས། རྫོགས་པ་ཆེན་པོ།,,,,,bdr:WA0XL53D971FA33C4,3727
,རིག་པ་རང་གྲོལ་ཆེན་པོ་ཐམས་ཅད་འགྲོལ་བའི་རྒྱུད་ཅེས་བྱ་བ་བཞུགས།,BO2003,EN2003,Self-Liberated Vidya Tantra (Vol 2),,Malcolm Smith,སྔགས། རྫོགས་པ་ཆེན་པོ།,,,,,bdr:WA0XLA25F04891,762
,"༡ ཡེ་གེ་མེད་པའི་རྒྱུད་ཆེན་པོ་ཞེས་བྱ་བ། རིན་པོ་ཆེ་རྒྱལ་མཚན་གྱི་རྒྱུད། རྒྱལ་པོའི་གདུང་རྒྱུད། ལྟ་བ་ནམ་མཁའི་མཐའ་དང་མཉམ་པའི་རྒྱུད།
༢ ཡི་གེ་མེད་པའི་རྒྱུད་ཀྱི་འགྲེལ་པ་པདྨ་ཁ་འབྱེད།",BO2547,EN2547,The Tantra Without Syllables And The Blossoming Lotus,པཎ་ཆེན་དྲི་མེད་བཤེས་གཉེན།,Malcolm Smith,སྔགས། རྫོགས་པ་ཆེན་པོ།,,,,,"༡ https://library.bdrc.io/show/bdr:WA3JT13481?tabs=bdr:MW21518,bdr:W21518

༢ https://library.bdrc.io/show/bdr:WA0XL59E6A2EBC976",1551
,"༡ གསེར་གྱི་མེ་ཏོག་མཛེས་པ་རིན་པོ་ཆེ་སྒྲོན་མ་འབར་བའི་རྒྱུད།
༢ གསེར་གྱི་མེ་ཏོག་མཛེས་པ་རིན་པོ་ཆེ་སྒྲོན་མ་འབར་བའི་རྒྱུད་དོན་གསལ་བར་བྱེད་པ་མུ་ཏིག་ཕྲེང་བ་བརྒྱུས་པ་ཞེས་བྱ་བ་བཞུགས་སོ།",BO3597,EN3597,The Blazing Lamp Tantra And The Threaded String Of Pearls: A Translation Of The Dronma Barwai Gyi And Its Commentary,,Malcolm Smith,རྒྱུད་འབུམ།,,,,,"1 https://library.bdrc.io/show/bdr:WA0XLAA44684B4B14
2 https://library.bdrc.io/show/bdr:MW25983?part=bdr:MW25983_216DF3&s=q%3D%2522%25E0%25BD%2582%25E0%25BD%25A6%25E0%25BD%25BA%25E0%25BD%25A2%25E0%25BC%258B%25E0%25BD%2582%25E0%25BE%25B1%25E0%25BD%25B2%25E0%25BC%258B%25E0%25BD%2598%25E0%25BD%25BA%25E0%25BC%258B%25E0%25BD%258F%25E0%25BD%25BC%25E0%25BD%2582%25E0%25BC%258B%25E0%25BD%2598%25E0%25BD%259B%25E0%25BD%25BA%25E0%25BD%25A6%25E0%25BC%258B%25E0%25BD%2594%25E0%25BC%258B%25E0%25BD%25A2%25E0%25BD%25B2%25E0%25BD%2593%25E0%25BC%258B%25E0%25BD%2594%25E0%25BD%25BC%25E0%25BC%258B%25E0%25BD%2586%25E0%25BD%25BA%25E0%25BC%258B%25E0%25BD%25A6%25E0%25BE%2592%25E0%25BE%25B2%25E0%25BD%25BC%25E0%25BD%2593%25E0%25BC%258B%25E0%25BD%2598%25E0%25BC%258B%25E0%25BD%25A0%25E0%25BD%2596%25E0%25BD%25A2%25E0%25BC%258B%25E0%25BD%2596%25E0%25BD%25A0%25E0%25BD%25B2%25E0%25BC%258B%25E0%25BD%25A2%25E0%25BE%2592%25E0%25BE%25B1%25E0%25BD%25B4%25E0%25BD%2591%25E0%25BC%258B%25E0%25BD%2591%25E0%25BD%25BC%25E0%25BD%2593%25E0%25BC%258B%25E0%25BD%2582%25E0%25BD%25A6%25E0%25BD%25A3%25E0%25BC%258B%25E0%25BD%2596%25E0%25BD%25A2%25E0%25BC%258B%25E0%25BD%2596%25E0%25BE%25B1%25E0%25BD%25BA%25E0%25BD%2591%25E0%25BC%258B%25E0%25BD%2594%25E0%25BC%258B%25E0%25BD%2598%25E0%25BD%25B4%25E0%25BC%258B%25E0%25BD%258F%25E0%25BD%25B2%25E0%25BD%2582%25E0%25BC%258B%25E0%25BD%2595%25E0%25BE%25B2%25E0%25BD%25BA%25E0%25BD%2584%25E0%25BC%258B%25E0%25BD%2596%25E0%25BC%258B%25E0%25BD%2596%25E0%25BD%25A2%25E0%25BE%2592%25E0%25BE%25B1%25E0%25BD%25B4%25E0%25BD%25A6%25E0%25BC%258B%25E0%25BD%2594%25E0%25BC%258B%2522~1%26lg%3Dbo%26t%3DInstance%26f%3Dasset%2Cinc%2Ctmp%3ApossibleAccess%26f%3Dasset%2Cinc%2Ctmp%3AcatalogOnly%26n%3D1",2501
